Region,Gender,SubscriptionType,InternetUsageType,CustomerSupportCalls,ContractType,MonthlyCharges,TotalCharges,CallMinutesPerMonth,InternetGBPerMonth,NumberOfSMSPerMonth,TenureMonths,Age
West,Other,Postpaid,Light,High,Monthly,28.06,718.32,537.64,23.55,58.0,23,74
Central,Male,Postpaid,Heavy,High,Quarterly,42.99,1164.18,565.91,29.16,69.0,3,23
East,Male,Prepaid,Light,Medium,Quarterly,60.06,1165.59,692.74,32.57,94.0,6,66
Central,Female,Prepaid,Light,Medium,Monthly,31.96,542.34,564.78,24.59,114.0,16,74
Central,Male,Postpaid,Moderate,Medium,Monthly,56.74,751.81,592.89,52.61,81.0,7,20
South,Other,Postpaid,Heavy,Medium,Quarterly,53.44,1250.01,487.35,22.41,94.0,26,48
East,Male,Prepaid,Light,Medium,Yearly,60.49,1363.3,566.38,35.09,126.0,5,69
East,Other,Postpaid,Heavy,High,Quarterly,43.42,980.15,450.3,25.81,92.0,44,38
East,Male,Postpaid,Moderate,Medium,Monthly,13.28,1395.98,584.1,23.99,91.0,56,21
Central,Male,Prepaid,Light,High,Quarterly,48.98,1249.74,427.28,29.92,105.0,5,76
West,Female,Postpaid,Moderate,High,Yearly,35.9,1076.99,501.57,23.66,67.0,34,58
East,Other,Prepaid,Light,Medium,Monthly,9.03,1389.58,518.25,21.45,136.0,23,22
North-East,Male,Prepaid,Light,Low,Quarterly,41.66,969.84,532.46,18.96,76.0,8,35
Central,Female,Postpaid,Heavy,Low,Yearly,31.6,796.11,588.86,22.79,61.0,26,78
South,Female,Postpaid,Light,High,Monthly,37.35,864.71,462.95,36.0,106.0,33,74
West,Other,Postpaid,Moderate,High,Monthly,35.87,1312.82,463.48,25.92,76.0,51,76
North-East,Female,Prepaid,Light,Low,Yearly,82.82,620.4,371.26,35.83,119.0,8,44
North-East,Other,Postpaid,Light,Low,Monthly,52.47,903.62,412.12,39.77,99.0,56,40
South,Other,Prepaid,Light,Low,Yearly,37.05,273.35,414.11,22.04,79.0,15,32
West,Other,Postpaid,Heavy,Medium,Yearly,57.11,811.51,446.95,22.4,82.0,16,49
Central,Female,Postpaid,Light,Low,Monthly,55.23,1207.41,376.33,35.68,121.0,34,49
North,Female,Prepaid,Light,Medium,Quarterly,43.36,880.29,462.95,33.15,129.0,15,55
West,Other,Prepaid,Heavy,Medium,Quarterly,32.45,783.3,586.07,10.11,162.0,34,64
